ID,Russian,English,Turkish,Massa
с3_001,Взаимно?,Mutually?,Karşılıklı?,
с3_002,"Когда он тебя видит, улыбается?","When does he see you, smiles?","Seni ne zaman görüyor, gülümsemeler?",
с3_003,"Да, смотря на меня, у него на лице появляется милая и застенчивая улыбка","Yes, looking at me, his face appears on his face and shy smile","Evet, bana bakarak yüzünde yüzünde görünür ve utangaç",5
с3_004,"Навряд ли это так....Его мог рассмешить мой стиль или его друзья...только в таком случае он будет улыбаться, видя меня((","It's hardly so .... I could laugh my style or his friends ... Only, in this case, he will smile, seeing me ((","Neredeyse bu yüzden .... tarzımı ya da arkadaşlarını gülebilirim ... sadece, bu durumda, beni görecek, beni görecek ((",4
с3_005,Не бывало подобного,There was no similar,Benzer olmadı,1
с3_006,Он часто смотрит на тебя застенчивым взглядом?,Does he often look at you with a shy look?,Size biraz utangaç bir görünüme bakar mı?,
с3_007,"Ну, частенько кидает застенчивый взгляд, немного опустив голову....Это так мило*.*","Well, often throws a shy glance, slightly lowering his head .... It's so cute *. *","Peki, genellikle kafasını hafifçe düşüren utangaç bir bakış atar .... çok tatlı *. *",5
с3_008,"Смотрит, но его взгляд равнодушен.","It looks, but his view is indifferent.","Görünüyor, ama onun görüşü kayıtsız.",3
с3_009,"Он вообще на меня не смотрит. Если я только кончено не подбегу и не дам ему пакетом по башке, при этом упав с лестницы...мм...тог¬¬да думаю, что посмотрит","He does not look at me at all. If I'm just over the package and do not give him a package in the head, while falling from the stairs ... mm ... Togo think it looks",Bana hiç bakmıyor. Sadece paketin üzerinde olsam ve ona merdivenlerden düşerken ona bir paket vermeyin ... mm ... GOGO baktığını düşünüyorum,1
с3_010,Вы с ним общаетесь?,Do you communicate with him?,Onunla iletişim kuruyor musun?,
с3_011,"Да, мы друзья/знакомые","Yes, we are friends / acquaintances","Evet, biz arkadaşız / tanıdıklarız",5
с3_012,"Общаемся, но лишь в интернете. Лично мы с ним незнакомы.","We communicate, but only on the Internet. Personally, we are unfamiliar with him.","Biz iletişim kuruyoruz ama sadece internette. Şahsen, ona aşina değiliz.",3
с3_013,"Нет, я даже не знаю как его зовут.","No, I do not even know what his name is.","Hayır, adının ne olduğunu bile bilmiyorum bile.",1
с3_014,Его окружает много особей женского пола?,His surrounds a lot of female individuals?,Onun bir sürü kadın kişiyi çevreler mi?,
с3_015,"Не очень. Девушек 5, но это просто его подруги или одноклассницы. Даже, если и так, то он на них так, как на меня не смотрит","Not good. Girls 5, but it's just his girlfriend or classmates. Even, if so, then he is on them as it does not look at me","İyi değil. Kızlar 5, ama bu sadece kız arkadaşı veya sınıf arkadaşları. Eğer öyleyse, öyleyse, o zaman üzerlerine bakmıyor.",5
с3_016,Это верно. Он постоянно находится в женском окружении. ,It's right. He is constantly in the female environment.,Bu doğru. O sürekli kadın ortamda.,4
с3_017,Меня это не волнует. Не считала я. Девок так 20 точно. Причем небритоногих.,"It does not care. I did not consider. Girls are so 20 for sure. Moreover, non-leogal.","Farketmez. Düşünmedim. Kızlar emin için çok 20. Dahası, leogal olmayan.",3
с3_018,"Представь, что ты ему призналась в своих чувствах. Как бы он отреагировал?",Imagine that you confessed him in your feelings. How would he react?,Onu hislerinizde itiraf ettiğinizi hayal edin. Nasıl tepki verdi?,
с3_019,"Они сразу сообщают ему о моем присутствии, подталкивают его, а иногда даже толкают его в меня","They immediately inform him about my presence, pushing it, and sometimes even pushing him into me","Derhal onun varlığımla ilgili bilgilendirirler, iterek ve bazen onu bile bana iterek",5
с3_020,"Стебуться надо мной, наверное",It is necessary to get shattered,Paramparça olmak gerekir,3
с3_021,Никак,No way,Mümkün değil,2
с3_022,"Если бы вы вместе случайно столкнулись, то потом бы он весь день смотрел на тебя?","If you were randomly encountered, then he would have looked at you all the day?","Rastgele karşılaştıysanız, o zaman her gün size bakardı?",
с3_023,Да-да....,Yes Yes....,Evet evet....,5
с3_024,Не знаю...,Do not know...,Bilmemek...,3
с3_025,"Я знаю, что ему пофиг на меня",I know that he doesn't care about me,Beni umursamadığını biliyorum,1
с3_026,"Он часто смотрит тебя прямо в глаза, когда вы встречаетесь взглядами?",He often looks at you straight into the eyes when you meet views?,Görüşleri karşıladığınızda sık sık size doğrudan gözlere bakar?,
с3_027,Часто-часто....Он смотрит таким влюбленным взглядом...мм,"Often, often .... He looks like in love with a look ... mm","Genellikle, sık sık .... bir göz atmaya aşık gibi görünüyor ... mm",5
с3_028,Ну а как же? Мы же встречаемся взглядами...,"Well, what about? We encounter looks ...",Peki ya? Biz görünüyor ...,3
с3_029,У него в глазах безразличие и пустота,In his eyes indifference and emptiness,Gözünde kayıtsızlık ve boşluk,1
с3_030,Ну а твои чувства? Ты думаешь о ком-то еще помимо него?,"Well, your feelings? Do you think about someone else besides him?",Duyguların mı? Onun dışında başka biri hakkında düşünüyor musun?,
с3_031,"Не-а. Ото всех остальных меня буквально тошнит. Я не имею к ним никакого интереса, абсолютно!","Not-a. From all the rest I literally nauseous. I do not have any interest to them, absolutely!",Değil. Gerisini tam anlamıyla mide bulantısı. Kesinlikle onlara hiç ilgim yok!,5
с3_032,Я много о ком думаю...Мне много кто нравится....,I think a lot about someone ... I like a lot ....,Birinden çok şey düşünüyorum ... Çok hoşlanıyorum ....,3
с3_033,"Если честно, я вообще люблю другого! Мне просто льстит, что кто-то влюблен в меня","To be honest, I love the other at all! I just flatter that someone is in love with me","Dürüst olmak gerekirse, diğerini hiç seviyorum! Sadece birinin bana aşık olduğunu okudum",2
с3_034,"Ну а сама-то, как думаешь? Любит?","Well, yourself, what do you think? Loves?","Kendin, kendin, ne düşünüyorsun? Seviyor mu?",
с3_035,"Дя-дя, я в нем уверена, но не на 100%, поэтому и прохожу этот тест","Dia, I'm confident in it, but not 100%, so I pass this test","Dia, kendime güveniyorum, ama% 100 değil, bu testi geçerim",5
с3_036,Не любит. Но все же есть надежда...наверн..,Does not love. But still there is hope ... probably ..,Sevmiyor. Ama yine de umut var ... muhtemelen ..,3
с3_037,"Знаю, что не любит. Зачем я вообще прохожу этот стремный тест???мммм",I know that he does not like. Why do I continue this dumb test ??? mmmm,Sevmediğini biliyorum. Neden bu aptal testine devam edeceğim ??? mmmm,2
с3_038,"На перемене. если бы ты бесилась с его одноклассницей, он бы на тебя смотрел?","At a break. If you were shared with his classmate, he would look at you?","Bir mola. Sınıf arkadaşı ile paylaşıldıysanız, size bakardı?",
с3_039,"Хе-хе, ну да, разглядывал бы, улыбался..","Hehe, well, yes, I would have looked at, smiling ..","Hehe, evet, bakardım, gülümseyen ..",3
с3_040,Ага...Стебался бы и угарал надо мной,Yeah ... you would have shattered and looked out of me,Evet ... paramparça olur ve benden bakardın,5
с3_041,И взора бы не кинул...,And the gaze would not throw ...,Ve bakışları atmaz ...,1
с3_042,"Если он заметит вблизи тебя какого-нибудь парня, с которым ты разговариваешь, воркуешь или бесишься, то он бы ревниво на вас смотрел?","If he notices near you a guy with whom you are talking to, worship or be silent, he would look jealously on you?","Eğer seninle konuştuğun, ibadet et ya da sessiz olacağın bir adamın yanında fark ederse, senin üzerinde kıskanç görünüyordu?",
с3_043,"Да сто пудов! Я уже проверяла. Взгляд, как у злобной гиены.","Yes, one hundred pounds! I have already checked. Look, like an evil hyena.","Evet, yüz lirası! Ben zaten kontrol ettim. Bak, kötü bir sırtlan gibi.",3
с3_044,"Навряд ли бы ревновал, даже присоединился бы к беседе","It would hardly be jealous, even joined the conversation","Çok kıskanç olmazdı, hatta konuşmaya bile katıldı",5
с3_045,Ему все равно,He does not care,Umursamıyor,2
с3_046,"Вы идете по коридору с подругой. Видите его, ты просишь подругу посмотреть на него. Она смотрит на его реакцию при твоем присутствии. Какая у него реакция на тебя?","You walk along the corridor with a girlfriend. See him, you ask for a girlfriend to look at him. She looks at his reaction in your presence. What is his reaction to you?","Koridor boyunca bir kız arkadaşıyla yürürsün. Onu gör, bir kız arkadaşının buna bakmasını isteyin. Varlığınızdaki tepkisine bakar. Sana verilen tepki nedir?",
с3_047,"Подруга говорит, что он смотрит на меня без палева, или выглядывая из под челки, застенчиво улыбаясь...","Girlfriend says he looks at me without a toilet, or peeping from under the bangs, smiling shyly ...","Kız arkadaşım bana bir tuvalet olmadan baktığını ya da patlamaların altından gözetlendiğini söylüyor, utangaç bir şekilde gülümsüyor ...",5
с3_048,"Смотрит, в принципе таким же взглядом как и на твою подругу. Бабник вообщем-то((",It looks in principle the same look like your girlfriend. The womanik in general ((,"Prensipte, kız arkadaşın gibi görünür. Genel olarak womanik ((",1
с3_049,"Говорит, что вообще не смотрит",Says that does not look at all,Bu hiç bakmadığını söylüyor,3
с3_050,"А замечают ли окружающие, что между вами пролетают искры?",Do you notice the surrounding that sparks fly between you?,Sparks'ın aranızdaki uçtuğunu görüyor musunuz?,
с3_051,"Да-да. Мне частенько намекают, что мы могли бы быть хорошей парой.",Yes Yes. I often hint that we could be a good pair.,Evet evet. Sık sık iyi bir çift olabiliriz.,5
с3_052,Да нет. Всем все равно.,Well no. Nobody cares.,NO. Kimse umursamaz.,1
с3_053,Между нами вообще не пролетает искр...Ни одной искринки!,There is no sparks between us at all ... Not a single Iskinka!,Aramızda hiçbir kıvılcım yok ... Tek bir Iskinka değil!,3
с3_054,Инициатива пообщаться всегда исходит от него?,Is the initiative to communicate always coming from him?,İletişim kurma girişiminde her zaman ondan geliyor mu?,
с3_055,Когда как. Но чаще всего мне пишет он.,It depends. But most often he writes.,Değişir. Ama çoğu zaman yazıyor.,5
с3_056,"Скорее чаще от меня, чем от него.",Rather often from me than from him.,Benden sık sık ondan daha fazla.,3
с3_057,От него вообще не исходит ни какой инициативы.,From him does not proceed any initiative.,Ondan herhangi bir inisiyatif devam etmiyor.,1
,,,,
,,,,
сd3_058,В последнее время он стал меньше звонить и писать вам?,"Recently, he began to call less and write to you?","Son zamanlarda, daha az aramaya başladı ve sana yazmaya başladı?",
сd3_059,Да,Yes,Evet,5
сd3_060,Нет,Not,Değil,3
сd3_061,У вас нет общих тем для разговора?,You do not have undergoes for conversation?,Konuşma için geçtiniz yok mu?,
сd3_062,Да,Yes,Evet,3
сd3_063,Нет,Not,Değil,5
сd3_064,Он не посвящает вас в свои планы?,He does not devote you to his plans?,Seni planlarına ayırmıyor mu?,
сd3_065,Да,Yes,Evet,3
сd3_066,Нет,Not,Değil,5
сd3_067,Его поведение по отношению к вам стало безразличным?,His behavior in relation to you has become indifferent?,Sizinle ilgili davranışı kayıtsız hale geldi mi?,
сd3_068,Да,Yes,Evet,3
сd3_069,Нет,Not,Değil,5
сd3_070," Он задерживается допоздна на работе, у друзей и т.д.?"," He delayed late at work, friends, etc.?"," İş, arkadaş, vb geç gecikti?",
сd3_071,Да,Yes,Evet,3
сd3_072,Нет,Not,Değil,5
сd3_073,Теперь вы меньше времени проводите вместе?,Now you spend less time together?,Şimdi birlikte daha az zaman harcıyorsun?,
сd3_074,Да,Yes,Evet,3
сd3_075,Нет,Not,Değil,5
сd3_076, Вы почти не занимаетесь кексом?, Do you almost do not do the cupcake?, Neredeyse cupcake yapmıyor musun?,
сd3_077,Да,Yes,Evet,3
сd3_078,Нет,Not,Değil,5
сd3_079, Он ссорится с вами из-за любого пустяка?, Does he quarrel with you because of any trifle?, Herhangi bir önemsememden dolayı seninle kavga ediyor mu?,
сd3_080,Да,Yes,Evet,3
сd3_081,Нет,Not,Değil,5
сd3_082,У него появились секреты от вас?,Does he have secrets from you?,Sizden sırları var mı?,
сd3_083,Да,Yes,Evet,3
сd3_084,Нет,Not,Değil,5
сd3_085, В последнее время он стал вас больше критиковать?," Recently, has he become more criticized?"," Son zamanlarda, daha eleştirildi mi?",
сd3_086,Да,Yes,Evet,3
сd3_087,Нет,Not,Değil,5
сd3_088,Ему не интересно ваше мнение?,He is not interested in your opinion?,Senin fikrinle ilgilenmiyor mu?,
сd3_089,Да,Yes,Evet,3
сd3_090,Нет,Not,Değil,5
сd3_091, Его желания стоят выше ваших?, His desires are taller than yours?, Arzuları seninkinden daha uzun?,
сd3_092,Да,Yes,Evet,5
сd3_093,Нет,Not,Değil,5
сd3_094,Часто ли импульсивность переростает в агрессию?,Is impulsiveness often begoving in aggression?,Dürtüsellik genellikle saldırganlıkta yalvarır mı?,
сd3_095,Да,Yes,Evet,3
сd3_096,Нет,Not,Değil,5
