ID,Russian,English,Turkish
Love_result_bad,"Вполне вероятно, что ваш партнер испытывает к вам очень возвышенные чувства, но что-то в вашем поведении заставляет его несколько сомневаться во взаимности. Постарайтесь быть более открытой и сердечной.","It is likely that your partner is experiencing very sublime feelings for you, but something in your behavior makes him a few doubt in reciprocity. Try to be more open and heartfelt.","Eşinizin sizin için çok yüce duyguları yaşadığı muhtemeldir, ancak davranışlarınızdaki bir şey onu karşılıklılıkta birkaç şüphe haline getiriyor. Daha açık ve yürekten olmaya çalış."
Love_result_good,"Почти любовь. Твоя влюбленность переходит на новый уровень и раз это происходит, значит у тебя со второй половинкой все идет как надо. Конфетно-букетный период в разгаре, который сопровождается комплиментами, прогулками под луной и узнаванием друг друга. Молодец, так держать!","Almost love. Your love goes to a new level and once it happens, it means that you with the second half everything goes as it should. The candidate bakery period in full swing, which is accompanied by compliments, walks under the moon and recognition of each other. Well done keep it up!","Neredeyse aşk. Aşkın yeni bir seviyeye gidiyor ve bir kez gerçekleştiğinde, her şeyin yapılması gerektiği gibi ikinci yarıda olduğu anlamına geliyor. Aday fırın süresi, iltifatlar eşliğinde, ayın altında yürür ve birbirlerinin tanınması. Güzel iş böyle devam et!"
Love_result_great,"Парень, о котором вы думаете влюблен в вас на все 100%. Если вы тоже испытываете к нему похожие чувства, то не стоит ждать с моря погоды. Проявляйте больше инициативы и тогда из вас получится отличная пара.","The guy you think in love with you 100%. If you are also experiencing similar feelings, then you should not wait from the sea weather. Show more initiative and then you will get a great steam.","Sana aşık olduğunu düşündüğün adam% 100. Ayrıca benzer duygular yaşıyorsanız, deniz havalarından beklememelisiniz. Daha fazla inisiyatif göster ve sonra harika bir buhar alacaksın."
Confidence_result_bad,"Вы любите своего партнера, но в то же время не отказываетесь от романов на стороне. Вы не задумывались о том, что своим поведением можете нанести глубокую душевную травму своему партнеру. Так вы можете легко потерять доверие близкого человека. Попробуйте пересмотреть свои отношения. Зачем обманывать друг друга? Быть может, пришла пора расстаться?","You love your partner, but at the same time do not give away the novels on the side. You did not think about the fact that you can inflict deep mental injury to your partner. So you can easily lose the trust of a loved one. Try to reconsider your relationship. Why deceive each other? Perhaps it's time to part?","Eşinizi seviyorsun, ama aynı zamanda yandaki romanı vermeyin. Eşinizin derin zihinsel yaralanmalarını sağlayabileceğiniz gerçeğini düşünmediniz. Böylece sevilen birinin güvenini kolayca kaybedebilirsiniz. İlişkinizi yeniden gözden geçirmeye çalışın. Neden birbirlerini aldatıyor? Belki de ayrılma zamanı?"
Confidence_result_good,"Вы уважаете и цените своего партнера, но скорее всего, вам трудно дается открывать двери в свой шкаф спустя какое то время в отношениях. Возможно вам это и не нужно, да и ни кто нас в этом и не осудит)Довольствуетесь тем что имеете, не распыляетесь, хорошая позиция.","You respect and appreciate your partner, but most likely you are difficult for you to open the doors to your wardrobe after some time in the relationship. Perhaps it is not necessary for you, and no one will condemn us in this) I am content with what you have, do not spray, good position.","Eşinize saygı duyur ve takdir edersiniz, ancak büyük olasılıkla ilişkide bir süre sonra kapıları gardırobunuza açmanız için zordur. Belki de sizin için gerekli değildir ve kimse bizi bu şekilde kınayamazsınız) Sahip olduğunuz şeyden memnunum, püskürtmeyin, iyi pozisyon."
Confidence_result_great,"Вы даже не допускаете мыслей об измене и ждете такого же от своего партнера. Причем эта черта проявляется у вас не только в отношении к любви. В общении с окружающими вы – человек слова. Для вас будет неприятным открытием, что не все думают и поступают так же, как и вы. Постарайтесь проще относиться к собственным промахам, это поможет вам стать терпимее к ошибкам других. Люди несовершенны, но не стоит ставить им это в вину. Пересмотрите свои взгляды на жизнь, вам станет намного проще строить отношения с людьми.","You do not even admit thoughts about treason and wait for the same from your partner. And this feature manifests itself not only in relation to love. In communication with the surrounding you are a word of the word. For you, it will be an unpleasant discovery that not everyone thinks and come in the same way as you. Try it easier to treat your own misses, it will help you become tolerant to the mistakes of others. People are imperfect, but you should not put it in the guilt. Revise your views on life, you will be much easier to build relationships with people.","İhanetle ilgili düşünceleri bile kabul etmiyorsunuz ve eşinizden aynısını beklemeyin. Ve bu özellik sadece sevgi ile ilgili olarak kendisini gösterir. Çevreleyen ile iletişimde, sizin kelimenin bir kelimesiysiniz. Sizin için, herkesin sizinle aynı şekilde gelip gelmediği hoş olmayan bir keşif olacaktır. Kendi özlemlerinizi tedavi etmek daha kolay, başkalarının hatalarına tolerans göstermenize yardımcı olacaktır. İnsanlar kusurludur, ancak suçluluğa koymamalısınız. Hayat hakkındaki görüşlerinizi gözden geçirin, insanlarla ilişkiler kurmayı çok daha kolay olacaksınız."
Mutually_result_bad,"Возможно в каких либо ответах, вы ставили не тот ответ который хотелось бы?) Ибо такое впечатлениечто вы пытаетесь найти в чем то подвох) Советуем пройти тест повторно для полного результата ваших взаимосвязей)","Perhaps in any answers, did you not put the answer that I would like?) For such an impression you are trying to find in something of tricks) We advise you to take a test again for the full result of your relationships)","Belki herhangi bir cevapta, istediğim cevabı koymadın mı?) Püf noktaları bir şeyde bulmaya çalıştığınız bir izlenim için), ilişkilerinizin tam sonucu için tekrar bir test yapmanızı tavsiye ederiz)"
Mutually_result_good,"Вы смотрите на него, улыбаетесь при встречи,а временами и кричите на него..Вывод тут только один))Делаййте выводы правильно и поддайтесь своим ощущениям, результат вас не огорчит)","You look at him, smile at the meeting, and at times and shout to it .. only one is alone here)) Delete the conclusions correctly and leaving your feelings, the result will not grieve.)","Ona bakarsın, toplantıya gülümse, zaman zaman ve ona bağırın .. Sadece biri burada yalnızdır)) Sonuçları doğru bir şekilde silin ve duygularınızı bırakın, sonuç üzılmaz.)"
Mutually_result_great,"Даже если кто-то и против вашего время провождения, идите на риск, ибо потом будет поздно! Читать и уделять на себя время хорошо, но как же прекрасно когда вас 2ое)","Even if someone and against your vacan time, go for risk, for it will be late! Read and pay on time well, but how beautiful when you 2)","Biri ve vacınız karşısında olsa bile, riski için gidin, çünkü geç kalacak! Okuyun ve zamanında iyi ödeme yapın, ancak 2) ne zaman 2)"
Values_result_bad,"Исходя от ваших ответов на вопросы, мы не можем определить стпень доверия к существуещему для вас человека,возможно повторный тест даст полную картину ваших ответов, чтобы извлечь не допонимания.","Based on your answers to questions, we cannot determine the stain trust in a person existing for you, you may repeat to give a complete picture of your answers to extract not doning.","Sorularınıza cevaplarınıza göre, sizin için var olan bir kişide leke güvenini belirleyemeyiz, bağışta bulunmayan ayıklamak için cevaplarınızın tam bir resmini vermek için tekrarlayabilirsiniz."
Values_result_good,"Хотя в некоторые моменты в паре и возникает недопонимание. Тем не менее ваши отношения вас устраивают, так как вы наслаждаетесь атмосферой задушевного общения. Если хотите сделать союз еще прочнее, начните преподносить партнеру приятные сюрпризы, и тогда ваша жизнь превратится в один сплошной праздник.","Although at some moments in a pair and misunderstanding. Nevertheless, your relationship is satisfied with you, since you enjoy the atmosphere of sincere communication. If you want to make a union even stronger, start presenting pleasant surprises to a partner, and then your life will turn into one solid holiday.","Her ne kadar bazı anlarda bir çift ve yanlış anlama rağmen. Bununla birlikte, ilişkiniz sizden memnundur, çünkü samimi iletişim atmosferinin tadını çıkarırsınız. Bir sendika daha da güçlü hale getirmek istiyorsanız, bir ortağa hoş sürprizler sunmaya başlayın ve sonra hayatınız bir katı tatile dönüşecektir."
Values_result_great,"Вы встретили настоящую большую любовь, и теперь вам нечего опасаться. Ваш союз прочен и счастлив и продлится очень долго. С каждым днем вы будете открывать в партнере все новые и новые положительные качества. Глядя на вас, друзья не могут сдержать восхищения и по-хорошему завидуют вашей взаимной заботе и взаимопониманию. Храните любовь и не позволяйте мелким бытовым распрям омрачать это чудо.","You met a real big love, and now you have nothing to fear. Your union is durable and happy and will last for a very long time. Every day you will open all new and new positive qualities in the partner. Looking at you, friends can not hold back admiration and enjoy your mutual care and mutual understanding. Keep love and do not allow small domestic straightening to overshadow this miracle.","Gerçek bir büyük sevgi tanıştın ve şimdi korkacak bir şeyin yok. Birliğiniz dayanıklı ve mutludur ve çok uzun süre dayanır. Her gün ortaktaki tüm yeni ve yeni olumlu nitelikleri açacaksınız. Size bakıldığında, arkadaşlar hayranlığı geri alamazlar ve karşılıklı bakımınızın ve karşılıklı anlayışınızın tadını çıkaramazlar. Sevgiyi tutun ve küçük yurtiçi düzlemelerinin bu mucizeyi gölgelemesine izin vermeyin."
Friends_result_bad,"Вы сами не понимаете нужен вам этот человек или нет. Скорее всего вы не хотели отвечать на тест, либо мало знакомы,позвоните или напишите ему)","You yourself do not understand you need this person or not. Most likely you did not want to answer the test, or few familiar, call or write to him)","Kendin, bu kişiye ihtiyacın olduğunu anlamadın. Büyük olasılıkla testi cevaplamak istemediniz ya da tanıdık, arayın ya da ona yazın)"
Friends_result_good,"Ваши чувства настоящие, и переполняют все ваше сердце. Да, пора признаться себе, что вы действительно влюбились. Если вы ещё не вместе, вам стоит что то предпринять. И эти отношения сделают вас счастливым(-ой), не стоит терять момент.","Your feelings are real, and overwhelm your whole heart. Yes, it's time to admit that you really fell in love. If you are not together, you should take something. And this relationship will make you a happy (s), you should not lose moment.","Duyguların gerçek ve bütün kalbini ezmek. Evet, gerçekten aşık olduğunuzu itiraf etme zamanı. Birlikte değilseniz, bir şey almalısınız. Ve bu ilişki sizi mutlu eder, anın kaybetmemelisiniz."
Friends_result_great,"Вы действительно настоящие друзья! Не переставате уделять свое время на этого человека, отношения могут закончиться, а дружба как правило никогда!","You are really true friends! Do not cease to pay your time on this person, relationships can end, and friendship is usually never!","Sen gerçekten gerçek arkadaşlarsın! Bu kişi için zamanınızı ödemekten vazgeçme, ilişkiler sona erebilir ve arkadaşlık genellikle asla olmaz!"
