ID,Russian,English,Turkish,Massa
с2_001,Ценности,Values,Değerler,
с2_002,На чем базируются ваши отношения с партнером?,What are your relationship with partner?,Eşle olan ilişkiniz neler?,
с2_003,На взаимной любви,On mutual love,Karşılıklı aşkta,5
с2_004,"Вы убеждены, что только вместе вы сможете обрести смысл жизни",You are convinced that only together you can find the meaning of life,Sadece bir arada yaşamın anlamını bulabileceğiniz konusunda ikna oldunuz.,5
с2_005,"Вы уверены, что очень сильно необходимы ему",Are you sure that he is very necessary for him,Onun için çok gerekli olduğundan emin misin?,3
с2_006,"В чем вы больше убеждаетесь, чем ближе становятся ваши отношения?","What are you more convincing, the closer your relationship becomes?","Ne daha ikna edici, ilişkiniz yaklaşıyor?",
с2_007,"У вашего партнера есть масса недостатков, что вас не слишком радует",Your partner has a lot of drawbacks that you are not too happy,Eşiniz çok mutlu olmadığınız bir sürü sakıncası var,5
с2_008,Ваши свидания потеряли былую новизну,Your dates lost the former novelty,Tarihleriniz eski yenilikten kaybetti,2
с2_009,Вы не все рассказываете партнеру. Что вы думаете по этому поводу?,You are not all telling a partner. What do you think about it?,Hepiniz bir ortağa söylemezsiniz. Bu konu hakkında ne düşünüyorsun?,
с2_010,"Вы не говорите ему только о том, что относится лично к вам",You do not tell him only about what applies personally to you,Ona sadece kişisel olarak sizin için ne uyguladığı hakkında söylemiyorsunuz.,5
с2_011,"Ваши секреты – пустяк, который не следует принимать во внимание",Your secrets are a trifle that should not be taken into account,"Sırlarınız, dikkate alınmaması gereken bir önemsemdir",3
с2_012,Важную для вас обоих информацию вы не скрываете,An important information for you is not hiding,Sizin için önemli bir bilgi saklanmıyor,5
с2_013,Что вы предпринимаете после вашей ссоры?,What do you take after your quarrel?,Kavas kazandıktan sonra ne alıyorsun?,
с2_014,Первой идете на перемирие,First go on a truce,İlk önce ateşkes,5
с2_015,"Вы не можете долго друг на друга обижаться, поэтому перемирие наступает очень быстро","You can't take long time to be offended at each other, so the truce comes very quickly","Birbirinizde kırılmak için uzun zaman alamazsınız, bu yüzden ateşkes çok çabuk geliyor",5
с2_016,"Проклинаете тот день, когда его встретили",Correct the day when he was met,Tanıştığı günü düzeltin,3
с2_017,"Какой, по-вашему, должна быть идеальная пара?","What, in your opinion, should be the perfect couple?","Ne, senin fikrinde mükemmel bir çift olmalı?",
с2_018,И она и он самоотверженно заботятся друг о друге,And she and he selflessly take care of each other,Ve o ve ben bencilce birbirlerine iyi bak,5
с2_019,Мы должны полностью друг друга понимать,We must fully understand each other.,Birbirimizi tamamen anlamalıyız.,5
с2_020,Вы должны быть уверены в искренней любви партнера,You must be sure of the most genuine love partner.,En gerçek aşk ortağından emin olmalısınız.,3
с2_021,На что вы пойдете ради любви?,What will you go for love?,Aşk için ne gideceksin?,
с2_022,На все,For all,Hepsi için,5
с2_023,"На все, если это не заставит вас напрягаться морально и физически","On everything, if it does not force you to strain moral and physically","Her şeyde, eğer sizi ahlaki ve fiziksel olarak zorlamaya zorlamazsa",5
с2_024,А почему вы? Ради любви должны стараться оба партнера,"Why are you? For love, both partners should try",Neden sen? Aşk için her iki ortak da denemelidir,3
с2_025,Как вы ведете себя во время беседы с партнером?,How do you behave during a conversation with a partner?,Bir ortakla görüşme sırasında nasıl davranıyorsunuz?,
с2_026,"Предпочитаете говорить и очень хотите, чтобы он внимательно вас слушал",Prefer to talk and really want him carefully listening to you,Konuşmayı mı tercih edersin ve gerçekten onu dikkatlice dinlemesini istiyor.,5
с2_027,Слушаете,Listen,Dinlemek,3
с2_028,"Можете молчать, но выбираете разговор на равных","You can silent, but choose a conversation on equal","Sessiz olabilir, ancak eşit bir konuşma seçin",5
