ID,Russian,English,Turkish,Massa
с4_001,Доверие,Confidence,Kendinden emin,
с4_002,"Как вы относитесь к людям, которые заводят курортные романы, хотя у них есть постоянные партнеры?","How do you feel about people who are breeding resort novels, although they have regular partners?","Düzenli ortakları olmasına rağmen, restoranlar romanları olan insanlar hakkında nasıl hissediyorsunuz?",
с4_003,В этом нет ни чего ужасного,There is no terrible,Korkunç yok,3
с4_004,Это их личное дело ,This is their personal matter.,Bu onların kişisel meseleleri.,5
с4_005,Это подло и бесчувственно,It is mean and insensitive,Ortalama ve duyarsız,1
с4_006,Ваш избранник признается вам в измене и просит прощения. Какой будет ваша реакция?,Your chosen one admits to you in treason and asks for forgiveness. What will be your reaction?,Seçtiğiniz kişi size ihanette size itiraf eder ve affetmeyi ister. Tepkiniz ne olacak?,
с4_007,Я же люблю и прощу,I love and forgive,Seviyorum ve affediyorum,1
с4_008,"Придется разорвать отношения, такому прощения нет","Will have to break the relationship, such for forgiveness is not",Affetmek gibi olan ilişkiyi kırmak zorunda kalacak,5
с4_009,"Такое может случится с каждым, я тоже не без греха","This may happen with everyone, I also do not without sin","Bu herkesle olabilir, ayrıca günahsız değilim",3
с4_010,Вы всегда выбираете одежду под влиянием изменчивой моды или остаетесь верны своему собственному стилю?,Do you always choose clothes under the influence of a changeable fashion or remain true to your own style?,Değiştirilebilir bir moda etkisi altında her zaman kıyafetleri seçtiniz mi veya kendi tarzınıza doğru kalır mısınız?,
с4_011,Приобретаете только те веще которые вам идут,Buy only those things that you go,Sadece gittiğin şeyleri satın al,5
с4_012,Не следите за модой ,Do not follow the fashion,Moda takip etmeyin,3
с4_013,Покупаете только все самое трендовое и понравившееся,Buy only all the most trend and favorites,Sadece en çok tüm trend ve sık kullanılanları satın al,1
с4_014,"Двое клянутся друг другу в верности. Считаете ли вы, что это не пустые слова?",Two swear to each other in loyalty. Do you think that these are not empty words?,İki kişiye sadakat içinde yemin eder. Bunların boş sözcük olmadığını mı düşünüyorsun?,
с4_015,"Вы не верите в вечную любовь, но такие слова приятно слышать","You do not believe in eternal love, but such words are pleased to hear","Sonsuz sevgiye inanmıyorsunuz, ancak bu tür kelimeler duymaktan memnuniyet duyarlar.",5
с4_016,Если есть вселенная то о вечной любви речи быть не может,"If there is an universe, then about the eternal love of speech can not","Bir evren varsa, o zaman sonsuz konuşmanın sevgisi hakkında",3
с4_017,В этот момент они действительно верят в это?,"At this point, they really believe in it?","Bu noktada, gerçekten inanıyorlar mı?",1
с4_018,Из кармана вашего друга случайно выпадает бумага с незнакомым номером телефона. Ваши действия?,From your friend's pocket accidentally falls out paper with an unfamiliar phone number. Your actions?,Arkadaşınızın cebinden yanlışlıkla yabancı bir telefon numarası ile kağıdı düşer. Eylemlerin?,
с4_019,Откровенно поговорите со своим партнером,Frankly talk to your partner,Açıkçası eşinizle konuşun,5
с4_020,Оставите все как есть,Leave everything as it is,Her şeyi olduğu gibi bırak,1
с4_021,"Наберете этот номер что бы послушать, кто ответит",Dream this number to listen to who will answer,Kimin cevap vereceğini dinlemek için bu numarayı hayal edin,3
с4_022,"Вы едите все подряд, а ваш друг – вегетарианец. Поменяете ли вы свои привычки?","You eat everything in a row, and your friend is a vegetarian. Will you change your habits?",Her şeyi üst üste yersiniz ve arkadaşınız bir vejeteryandır. Alışkanlıklarını değiştirecek misin?,
с4_023,Попробуете повлиять на его привычки,Try to influence his habits,Alışkanlıklarını etkilemeye çalış,3
с4_024,Останетесь верны своим привычкам,Will be faithful to your habits,Alışkanlıklarına sadık olacak,1
с4_025,Станете вегетарианкой,We will become vegetarian,Vejeteryan olacağız,5
