ID,Russian,English,Turkish,Massa
с1_001,На любовь,On love,Sevgi üzerine,
с1_002,Ваш возраст?,Your age?,Yaşınız?,
с1_003,До 18,Before 18,18'den önce,2
с1_004,19-30,19-30,19-30,3
с1_005,Более 30,Over 30,30'dan fazla,4
с1_006,Ваша разница в возрасте?,Your difference in age?,Yaşın farkın?,
с1_007,12 и менее лет,12 or less years,12 veya daha az yıl,5
с1_008,Более 12 лет,Over 12 years old,12 yaşından büyük,3
с1_009,Нету разницы,No difference,Fark yok,2
с1_010,Ваш пол?,Your gender?,Senin cinsiyet?,
с1_011,Мужской,Male,Erkek,4
с1_012,Женский,Women,KADIN,3
с1_013,Какова длительность вашего общения?,What is the duration of your communication?,İletişiminizin süresi nedir?,
с1_014,До 1 месяца,Up to 1 month,1 aya kadar,1
с1_015,1 месяц – 6 месяцев,1 month - 6 months,1 ay - 6 ay,2
с1_016,6 месяцев – 2 года,6 months - 2 years,6 ay - 2 yıl,3
с1_017,Более 2 лет,Over 2 years,2 yıldan fazla,4
с1_018,Мы еще не общаемся,We still do not communicate,Hala iletişim kurmuyoruz,5
с1_019,Часто ли вы встречались в течение указанного Вами срока?,How often did you meet during the term you specified?,Belirttiğiniz terim boyunca ne sıklıkla buluştunuz?,
с1_020,Несколько раз в неделю,Few times a week,Haftada birkaç kez,4
с1_021,Примерно раз в неделю,About once a week,Yaklaşık haftada bir,3
с1_022,Реже одного раза в неделю,Less than once a week,Haftada bir kereden az,2
с1_023,Вместе живем больше месяца,We live together for more than a month,Bir aydan fazla bir süredir birlikte yaşıyoruz,5
с1_024,Занимаетесь ли вы вместе регулярно каким-либо трудом?,Do you regularly do in any way?,Düzenli olarak herhangi bir şekilde yaptınız mı?,
с1_025,Да,Yes,Evet,3
с1_026,Нет ,Not,Değil,5
с1_027,Чего Вы хотели бы от этих отношений?,What would you like from these relationships?,Bu ilişkilerden ne istersiniz?,
с1_028,"Дружбы, общения","Friendship, communication","Arkadaşlık, İletişim",2
